mol_idx,edit_type,site_idx,n_depths_used,entropy_mean,entropy_std,entropy_range
1603,a,30,6,4.5966581503550215,0.15749654857155446,0.40552806854248047
1604,b,32,6,4.266667564709981,0.3879540645945384,0.9079196453094482
1605,b,38,6,4.111525177955627,0.5518676990777699,1.5426361560821533
1606,b,7,6,4.181645790735881,0.3278763556564217,0.9085173606872559
1607,b,24,6,4.186854243278503,0.41055973779601707,1.0720314979553223
1608,a,0,6,3.8806894620259604,0.21915926740825334,0.5590505599975586
1609,b,46,6,4.028749903043111,0.5084778458015818,1.1921982765197754
1610,a,5,6,3.5776824156443277,0.27674595528819396,0.6644716262817383
1611,a,14,6,4.152581016222636,0.22287580091722473,0.5371308326721191
1612,b,14,6,3.840518514315287,0.3427480894863141,0.826380729675293
1613,a,26,6,4.30016303062439,0.26602835166196287,0.6305952072143555
1614,b,5,6,4.020358840624492,0.3846009108980928,0.9388177394866943
1615,b,36,6,3.771253546079,0.2296002514874194,0.5528619289398193
1616,b,4,6,3.521946748097738,0.3144474925065376,0.7788457870483398
1617,b,29,6,3.9967525402704873,0.4019718222358488,1.1309635639190674
1618,b,12,6,3.8893566528956094,0.299997337277064,0.7682979106903076
1619,b,5,6,3.8276106913884482,0.39343313237543165,0.9808769226074219
1620,a,23,6,4.1703033447265625,0.22617651722393478,0.542539119720459
1621,b,12,6,4.009356101353963,0.45020298413712195,1.0523672103881836
1622,b,10,6,3.754208525021871,0.4225158568748905,1.1612844467163086
1623,b,16,6,3.530138691266378,0.20309037352894588,0.48301076889038086
1624,b,29,6,3.902941028277079,0.5346016835288863,1.363900899887085
1625,b,13,6,4.113996505737305,0.44307640152161193,1.0533990859985352
1626,b,11,6,3.885099212328593,0.3957061517770589,1.0204737186431885
1627,b,3,6,4.213751475016276,0.470017565565512,1.2431097030639648
1628,b,8,6,3.629280686378479,0.4568568359370719,1.044929027557373
1629,b,16,6,4.503413200378418,0.20788505227903453,0.562443733215332
1630,b,6,6,3.913023352622986,0.5011090599774397,1.1882233619689941
1631,b,15,6,2.8082930644353232,0.4904741894637817,1.144235372543335
1632,b,69,6,4.26336141427358,0.47073650724492166,1.1752018928527832
1633,b,12,6,3.524208386739095,0.30156681631753834,0.7778720855712891
1634,b,29,6,3.8506346940994263,0.4453430110047637,1.0535664558410645
1635,b,7,6,3.7252732117970786,0.35411009243064107,0.943976879119873
1636,b,11,6,3.3554638226826987,0.29977835195292823,0.7587532997131348
1637,b,13,6,4.142508387565613,0.4659302681780675,1.1870925426483154
1638,b,39,6,4.1688079833984375,0.39219142488820163,1.0309631824493408
1639,b,13,6,3.207050919532776,0.4890379317801463,1.21390962600708
1640,a,18,6,4.628058195114136,0.17923765798103275,0.45345306396484375
1641,b,29,6,4.687783400217692,0.3597807223634188,0.8747258186340332
1642,b,2,6,3.3182472785313926,0.37279864280893277,0.8825531005859375
1643,b,14,6,3.2690031131108603,0.22027752922493457,0.5825231075286865
1644,b,2,6,3.445848822593689,0.37465340558039123,0.9972734451293945
1645,a,12,6,3.5426464080810547,0.3170944387286437,0.734199047088623
1646,b,2,6,3.20850936571757,0.3881286897863154,0.953559160232544
1647,b,2,6,4.254154960314433,0.3178261079724195,0.8267066478729248
1648,a,2,6,3.8600305318832397,0.12381290068848706,0.3296689987182617
1649,b,17,6,3.9178192218144736,0.33664480529578766,0.8643805980682373
1650,b,6,6,3.4173014958699546,0.3678809265013797,0.9488654136657715
1651,b,9,6,4.528717835744222,0.2544246558363812,0.690589427947998
1652,b,22,6,4.125544349352519,0.3607529152941129,0.8901097774505615
1653,b,15,6,3.541213631629944,0.414579775415133,1.0220680236816406
1654,a,15,6,4.318825801213582,0.2209279794369043,0.5170354843139648
1655,b,67,6,4.301274061203003,0.4158357922820197,1.0637378692626953
1656,b,12,6,3.831054449081421,0.5199246109565568,1.2483360767364502
1657,b,5,6,3.218663811683655,0.3005116115709761,0.7503645420074463
1658,b,14,6,3.9808148940404258,0.45096316330706826,1.0884582996368408
1659,a,57,6,5.051136493682861,0.2317735028803244,0.6412816047668457
1660,a,9,6,3.620978315671285,0.19070603360827654,0.4914999008178711
1661,a,13,6,4.0206243594487505,0.16861208525057547,0.3799889087677002
1662,b,33,6,4.126923203468323,0.40889562260467704,1.043644666671753
1663,b,4,6,4.0744108359018965,0.3333194535978166,0.8411951065063477
1664,a,9,6,3.403192122777303,0.12412883967863643,0.32718658447265625
1665,b,9,6,3.775357643763224,0.3020341808238005,0.7744860649108887
1666,b,28,6,3.7879178126653037,0.330799712595968,0.8279275894165039
1667,b,42,6,3.96974770228068,0.4970044956892216,1.259631633758545
1668,a,10,6,4.322758277257283,0.2209563829422655,0.525230884552002
1669,b,15,6,3.581378181775411,0.24337638997198702,0.6012401580810547
1670,a,20,6,4.048277179400126,0.27329975842171084,0.6817481517791748
1671,b,34,6,3.7980993588765464,0.3163908759119291,0.7241127490997314
